model,score_m,score_std,loss_m,loss_std,train_t_m,train_t_std,pred_t_m,pred_t_std,n_params,overall
"['D-CNN', 'WAVENET', 'CNN']",0.9409444444444444,0.002826899012114028,0.3359262242361351,0.016852057440816345,29.88666666666667,5.978269909523249,0.5153333333333333,0.08397076210734836,170774,4.5750037643252845
"['ConvLSTM', 'D-CNN', 'WAVENET', 'CNN']",0.9404999999999999,0.003388542787426787,0.28467659941977924,0.014580418133822574,54.58444444444444,4.845341660034836,0.6508111111111111,0.06961331999687742,247516,3.488289543672818
"['ConvLSTM', 'WAVENET', 'CNN-LSTM', 'CNN']",0.9397222222222221,0.004219999414896674,0.2773801553994417,0.009630917831036662,59.306666666666665,9.31967214492489,0.5478555555555555,0.21074563451975892,380744,3.294470740841051
"['ConvLSTM', 'WAVENET', 'CNN-LSTM']",0.9393777777777778,0.004368009406221481,0.2549667857863285,0.014343387553549294,64.17333333333333,9.502804264473138,0.6159888888888889,0.07198923444893139,262082,3.248569750777343
"['ConvLSTM', 'D-CNN', 'WAVENET']",0.9389333333333334,0.0028483913588784548,0.2625600850140607,0.017733761094494958,53.38666666666666,4.59020938762299,0.5551222222222223,0.028175473091868686,128854,3.887171075411068
"['CNN-LSTM', 'CNN']",0.9388777777777777,0.0031992283020120674,0.30410262528393006,0.008974056658629393,25.046666666666667,7.7086099049482755,0.40664444444444453,0.12105905915076798,280524,4.401025833410082
"['D-CNN', 'CNN']",0.9384444444444444,0.0031899533647274133,0.3200555145740509,0.015152741610327824,16.246666666666666,5.091832239533777,0.35126666666666667,0.0472423773980758,147296,4.9935910914949595
"['ConvLSTM', 'CNN-LSTM', 'CNN']",0.9381666666666667,0.003927113726672839,0.24815872311592102,0.01231632188310387,60.056666666666665,5.294500291182667,0.5604555555555556,0.09289523503042568,357266,3.0584025743248175
"['D-CNN', 'WAVENET']",0.9380333333333335,0.004514421336118289,0.3307173450787862,0.01595316784616743,19.90222222222222,8.316064477567602,0.4494,0.044199044735780825,52112,4.79432084171165
"['ConvLSTM', 'WAVENET', 'CNN']",0.9375333333333332,0.0027748873851023296,0.27843156512136813,0.009080924322547066,58.78555555555555,4.660160014208171,0.5020777777777777,0.03978349120979085,218882,3.5313032096445456
"['WAVENET', 'CNN']",0.9374777777777776,0.0021963493841563337,0.35533945593569016,0.012730048871711303,16.70777777777778,4.224933340112606,0.3562888888888889,0.1315171002353724,142140,4.831882568198439
"['ConvLSTM', 'D-CNN']",0.9373,0.0038715486421958788,0.21338819960753122,0.012088474221915696,44.85666666666666,1.725746215409438,0.3315666666666667,0.03508956793375742,105376,4.564156279472928
"['ConvLSTM', 'D-CNN', 'CNN']",0.9369555555555554,0.003104874701752097,0.2562375145929831,0.013477368569044476,51.72,7.152966750470278,0.5283444444444445,0.08200287408392887,224038,3.44462004249252
"['ConvLSTM', 'CNN-LSTM']",0.9366666666666666,0.005444875266401118,0.19966582622792986,0.010750185779421812,55.745555555555555,8.560301281186973,0.36526666666666663,0.05886024880077292,238604,3.845747332724865
['CNN-LSTM'],0.9355111111111112,0.005678506150279786,0.2598939769797855,0.016331208648893546,14.423333333333334,0.8939425783199576,0.2867555555555555,0.0868657343402399,161862,4.73837432043708
"['ConvLSTM', 'WAVENET']",0.9350333333333334,0.002320919358070554,0.24741728521055645,0.010821083347958836,48.71000000000001,2.6121723611669356,0.3304666666666667,0.027849915220297845,100220,4.168827724934348
"['ConvLSTM', 'CNN']",0.933322222222222,0.003931009985509175,0.23860862685574424,0.012041549962727877,38.72777777777778,1.1459084487163482,0.36893333333333334,0.03637676303478485,195404,3.673835265167611
['D-CNN'],0.9332999999999999,0.005232165474787245,0.29103215204344857,0.016379992844785092,6.6899999999999995,0.28639522032014125,0.22421111111111106,0.109544059572641,28634,5.06043257682266
['CNN'],0.9304333333333332,0.004738729318662915,0.34884391559494865,0.012292301366957413,5.196666666666667,2.2334925316393806,0.21567777777777777,0.08420560522089539,118662,4.428534351856421
['WAVENET'],0.9300444444444445,0.00583859022388703,0.3668202989631229,0.02215141633694132,8.738888888888889,0.8559393078749404,0.2192777777777778,0.11430298701042843,23478,4.549694480539033
['ConvLSTM'],0.9226222222222223,0.006869057476632727,0.1287386856145329,0.00832627709258831,33.71666666666667,6.303910602863027,0.20103333333333334,0.09642884538467845,76742,2.9388850023935813
