model,score_m,score_std,loss_m,loss_std,train_t_m,train_t_std,pred_t_m,pred_t_std,n_params,overall
"['ConvLSTM', 'WAVENET', 'CNN-LSTM', 'CNN']",0.9526777777777777,0.0034489218211486133,0.3069383021858003,0.00494988849641381,33.053333333333335,2.857551399362748,0.3694777777777778,0.10175193995177988,100346,3.3903951671587373
"['ConvLSTM', 'D-CNN', 'CNN-LSTM']",0.9525999999999999,0.0033993463423951766,0.30780230517740603,0.006335211851847137,34.821111111111115,3.5705226646480526,0.33037777777777777,0.02579443427381521,78689,3.7357614531357
"['ConvLSTM', 'D-CNN', 'CNN-LSTM', 'CNN']",0.9525666666666667,0.0029257477676655624,0.311163113762935,0.008666855963019858,36.20222222222222,4.754487418984716,0.3741777777777778,0.06847964462813064,98084,3.265160310184921
"['ConvLSTM', 'D-CNN', 'WAVENET', 'CNN-LSTM']",0.9524555555555556,0.003459643883764508,0.31788471796446377,0.006036519919587998,39.66444444444444,3.124935949960898,0.38465555555555553,0.06193326356492501,85394,3.205149357040619
"['ConvLSTM', 'WAVENET', 'CNN-LSTM']",0.952288888888889,0.0036256629874776443,0.29887420490936,0.004836928041049815,38.153333333333336,2.8670929915547263,0.34168888888888893,0.02544822388233473,80951,3.4590402008683707
"['ConvLSTM', 'D-CNN', 'WAVENET', 'CNN-LSTM', 'CNN']",0.9522555555555555,0.003144346288220643,0.3171916726562712,0.0055180198261351775,33.74888888888889,8.318964204280409,0.3611444444444445,0.16110774249351897,104789,3.22929390085053
"['D-CNN', 'WAVENET', 'CNN-LSTM', 'CNN']",0.9520444444444442,0.0028316116773593972,0.31449896179967457,0.0069526823367783005,25.156666666666663,2.3302360395462087,0.3564777777777778,0.10455113345235832,85202,3.613109223338272
"['ConvLSTM', 'CNN-LSTM', 'CNN']",0.9518,0.003673629752105613,0.29183634674107584,0.005716212618486556,27.624444444444443,2.6881514140188156,0.37066666666666664,0.02060388312915795,93641,3.3057633237120494
"['ConvLSTM', 'D-CNN', 'WAVENET', 'CNN']",0.9517555555555557,0.002832004045473847,0.33744147088792587,0.0063026092190890766,32.101111111111116,3.6150962625709315,0.4011888888888889,0.049591989596090666,50130,3.4429416942650395
"['D-CNN', 'CNN-LSTM', 'CNN']",0.9514999999999999,0.002964980794391593,0.3055699048218904,0.007012435089351013,21.426666666666662,2.523780233432908,0.3452888888888889,0.018916979113099214,78497,3.6581000726107273
"['ConvLSTM', 'WAVENET', 'CNN']",0.9514111111111112,0.003318783058239025,0.3304650375136623,0.008912208959070474,30.346666666666668,3.1334609903073267,0.3332555555555555,0.03137320552145346,45687,3.7742013366167924
"['WAVENET', 'CNN-LSTM', 'CNN']",0.9511111111111111,0.0028892307490035562,0.29798654935978075,0.00612426521720732,20.95111111111111,1.4030874245704197,0.33853333333333335,0.050396031589798815,80759,3.553677226144892
"['ConvLSTM', 'D-CNN', 'CNN']",0.9509777777777777,0.0026224576165530707,0.33853196656262435,0.009966930159639169,24.24222222222222,2.585595902850928,0.3599222222222222,0.029085650443619018,43425,3.6796009286630467
"['D-CNN', 'CNN-LSTM']",0.950911111111111,0.003109642510516268,0.29628415902455646,0.008926407237559608,18.26888888888889,1.221423981756489,0.21706666666666666,0.0094726506908632,59102,4.409340607921093
"['ConvLSTM', 'CNN-LSTM']",0.9508777777777778,0.0040201652198711664,0.2814573637313313,0.009398273770865918,30.418888888888887,2.7824108029806114,0.20556666666666668,0.00912603114417458,74246,3.9750511615610313
"['WAVENET', 'CNN-LSTM']",0.9507,0.004158792559812964,0.2880724163519012,0.007752183227976562,14.538888888888888,0.9356452846914969,0.2500222222222222,0.008311675560155368,61364,4.246291626228514
"['D-CNN', 'WAVENET', 'CNN']",0.9506222222222225,0.0025094389712876568,0.33654257544764765,0.006864741482687417,20.314444444444444,1.7029132626904149,0.34916666666666674,0.03182633430911508,30543,3.8524934583577775
"['ConvLSTM', 'D-CNN', 'WAVENET']",0.9505888888888888,0.002703678335751103,0.343022287995727,0.005655770708929648,29.76666666666667,3.143769853040915,0.3663777777777778,0.023690306399115037,30735,3.4912456153649853
"['D-CNN', 'WAVENET', 'CNN-LSTM']",0.9505666666666666,0.003056868404829435,0.3123242270063471,0.004956574981901722,28.12666666666667,2.3692286602277224,0.35071111111111114,0.027071856827686674,65807,3.2608367522576085
"['CNN-LSTM', 'CNN']",0.9503222222222223,0.0026304954234591454,0.28178444918658996,0.005417398579483006,15.22888888888889,1.8848309352090409,0.23112222222222226,0.017419770235618155,74054,4.0731292535931765
"['ConvLSTM', 'CNN']",0.9502666666666667,0.003085449724108316,0.32405053906970555,0.007622762223426153,20.814444444444447,1.2342078981283775,0.20542222222222223,0.00747392173981234,38982,4.385359407485155
"['ConvLSTM', 'D-CNN']",0.9500222222222222,0.0028874355318547246,0.34576918681462604,0.008914841879368526,21.040000000000003,3.8283097517776117,0.2333222222222222,0.018586720335753322,24030,4.300920506776944
"['D-CNN', 'CNN']",0.9499222222222223,0.0025010121407932104,0.3468810005320443,0.006585870889999255,10.768888888888888,1.0946886360406518,0.20776666666666668,0.01411075240138999,23838,4.683462020457121
"['ConvLSTM', 'WAVENET']",0.9493666666666667,0.003508719297850874,0.3350221663713455,0.010620534726283895,23.504444444444445,3.3160388387723865,0.22265555555555552,0.015577841179138694,26292,4.047292325352973
"['WAVENET', 'CNN']",0.9491111111111111,0.003023406630660329,0.32881787253750694,0.00945303818068048,9.317777777777778,0.6164554192726488,0.23615555555555556,0.017440381692504527,26100,4.281177329755495
"['D-CNN', 'WAVENET']",0.9477666666666666,0.003656956840507312,0.34942017164495254,0.007399190478375053,15.747777777777777,1.0868586515251477,0.2081777777777778,0.00909734732738405,11148,3.950464887304392
['ConvLSTM'],0.9469888888888889,0.004423031751699625,0.33010480801264447,0.006763159449163792,17.83555555555556,3.2939780445571722,0.11354444444444445,0.021370286282651176,19587,4.042552782255495
['CNN-LSTM'],0.9454999999999999,0.0037297601948531804,0.2316280719306734,0.008298543126295079,11.00888888888889,1.9717079141610787,0.1305555555555556,0.02572033830394025,54659,3.2928373751532867
['CNN'],0.9453777777777778,0.0030864498763961963,0.32357997364468044,0.009850219491713798,3.088888888888889,0.7738998563472673,0.1294888888888889,0.027065083880012244,19395,3.8254697415782637
['WAVENET'],0.9444777777777777,0.0034511762174584365,0.33834226926167804,0.014776643954500202,7.45111111111111,1.4076335101031916,0.13268888888888888,0.025951169720776428,6705,3.514863616622062
['D-CNN'],0.9437111111111111,0.004301535757905908,0.359503835439682,0.008596155886665537,6.464444444444444,1.2866762617182055,0.1327888888888889,0.02339042750283611,4443,3.3073546904316533
