,score_std STEPS=1,score_std STEPS=3,score_std STEPS=6
ENSEMBLE,0.0004399775527382818,0.0021755090223147537,0.004303945935683205
ConvLSTM,0.0010231879496196766,0.0017556258776351668,0.0026539046472213784
WAVENET,0.0009019868330045664,0.003554687394010309,0.0034016335944823824
DCNN,0.0007597920443235061,0.0030914857189735263,0.0030085064585457033
CNN-LSTM,0.0010111721593291873,0.0033911649915626375,0.004682380949690527
CNN,0.0016106896000329669,0.00361908521283732,0.004036805973679651
