,minmax STEPS=1,minmax STEPS=3,minmax STEPS=6
ConvLSTM,0.9613,0.9519222222222221,0.9315666666666667
DCNN,0.959988888888889,0.9500777777777777,0.9334333333333333
WAVENET,0.9599666666666666,0.9481333333333334,0.9353666666666667
CNN,0.958,0.9500111111111111,0.9328222222222221
CNN-LSTM,0.9579333333333333,0.9522666666666668,0.9401777777777779
