,score_std STEPS=1,score_std STEPS=3,score_std STEPS=6
GP-REGRESS,0.0018897383710744463,0.0029389256456428666,0.006013318551349158
STROGANOFF,0.0018791250919273953,0.003600617231037539,0.005941588098800062
