,minmax STEPS=1,minmax STEPS=3,minmax STEPS=6
ENSEMBLE,0.9620444444444445,0.9544777777777779,0.9448777777777777
ConvLSTM,0.9612555555555554,0.9521333333333334,0.935911111111111
WAVENET,0.9603555555555556,0.9502555555555556,0.9384000000000001
DCNN,0.9602777777777778,0.9502777777777778,0.9392999999999999
CNN-LSTM,0.9595555555555555,0.9508666666666667,0.9412555555555555
CNN,0.9587888888888888,0.9490666666666667,0.9358555555555554
