,score_std STEPS=1,score_std STEPS=3,score_std STEPS=6
ConvLSTM,0.0011962905629950972,0.0027923617155764862,0.004097966975627462
DCNN,0.0015877618380352092,0.001752317689219244,0.002962356419399173
WAVENET,0.0012128936932440085,0.003121253309525228,0.005197649041206577
CNN,0.002006655592438989,0.0022333056935824242,0.0024100612153487543
CNN-LSTM,0.000932142096940645,0.0014023789311975003,0.004263221989105771
GP-REGRESS,0.0018897383710744463,0.0029389256456428666,0.006013318551349158
STROGANOFF,0.0018791250919273953,0.003600617231037539,0.005941588098800062
