model,score_m,score_std,loss_m,loss_std,train_t_m,train_t_std,pred_t_m,pred_t_std,n_params,overall
DCNN,0.9603999999999999,0.0013507199726236294,0.24756081071164873,0.012614095127311358,2.601111111111111,0.3060662399054762,6.577777777777777,0.3175873555339723,3781,5.0
ConvLSTM,0.9603555555555556,0.001212079123848404,0.22170857588450113,0.008213642023981641,9.802222222222222,1.7461689989343832,5.931111111111112,0.6182851633428353,55169,4.834200349239191
WAVENET,0.9598111111111111,0.0006539528430916494,0.1941289785835478,0.012022336040856948,4.837777777777777,0.9453720934434908,6.466666666666667,0.4632254070944057,19145,4.185315029262197
CNN-LSTM,0.9586333333333334,0.0010000000000000102,0.18561730782190958,0.012697457292435236,10.186666666666666,1.3267336666498752,5.917777777777779,0.6288574786031108,9825,3.6835703099025263
CNN,0.9573555555555555,0.0015107842783807402,0.1257429379555914,0.012231523317253398,3.17,0.09888264649460884,6.514444444444445,0.28937139193281664,83777,1.068943055869961
